Name,Price_After,Price_Before,Discount,Rating,Sold_Count,Store_Location
Molto Pelembut & Pewangi Pakaian Bayi Softener Pure Soft & Gentle [1.6 L] + Molto Trika Pure [300 mL/2 Pcs] Free Spray Trika Limited Edition,Rp66.800,Rp107.000,38%,"5,0",12,
Molto Pelembut & Pewangi Pakaian Bayi Softener Pure Soft & Gentle [1.6 L] + Molto Trika Pure [300 mL/2 Pcs] Free Spray Trika Limited Edition,Rp66.800,Rp107.000,38%,"5,0",12,
Molto Pelembut & Pewangi Pakaian Trika Pure 300 mL [isi 2 Pcs],Rp9.700,Rp12.000,19%,"5,0",56,
Molto Pelembut & Pewangi Pakaian Trika Pure 300 mL [isi 2 Pcs],Rp9.700,Rp12.000,19%,"5,0",56,
Promo - Molto Pelembut & Pewangi Pakaian Trika Pure [300 mL] isi 6 Pcs,Rp21.900,Rp30.000,27%,"5,0",20,
Promo - Molto Pelembut & Pewangi Pakaian Trika Pure [300 mL] isi 6 Pcs,Rp21.900,Rp30.000,27%,"5,0",20,
Buavita Jus Buah Asli Korean White Peach Minuman Kolagen Kaya Vitamin C [245 mL],Rp9.200,Rp10.000,8%,"4,8",330,
Buavita Jus Buah Asli Korean White Peach Minuman Kolagen Kaya Vitamin C [245 mL],Rp9.200,Rp10.000,8%,"4,8",330,
Buavita Apel [1000 mL],Rp28.400,Rp29.700,4%,"4,8","3,2 rb",
Buavita Apel [1000 mL],Rp28.400,Rp29.700,4%,"4,8","3,2 rb",
Buavita Apple [500 mL],Rp14.600,Rp15.400,5%,"4,9",811,
Buavita Apple [500 mL],Rp14.600,Rp15.400,5%,"4,9",811,
Buavita Lychee [245 mL],Rp8.000,Rp8.500,6%,"4,9","2,5 rb",
Buavita Lychee [245 mL],Rp8.000,Rp8.500,6%,"4,9","2,5 rb",
Buavita Orange [245 mL],Rp8.000,Rp8.500,6%,"4,8","2,3 rb",
Buavita Orange [245 mL],Rp8.000,Rp8.500,6%,"4,8","2,3 rb",
PROMO - Buavita Guava [500 mL],Rp7.700,Rp15.400,50%,"5,0",25,
PROMO - Buavita Guava [500 mL],Rp7.700,Rp15.400,50%,"5,0",25,
Medan - Lifebuoy Refresh & Cool Anti Gatal Anti Dandruff Shampoo [155 mL],Rp20.350,Rp26.100,22%,"5,0",2,
Medan - Lifebuoy Refresh & Cool Anti Gatal Anti Dandruff Shampoo [155 mL],Rp20.350,Rp26.100,22%,"5,0",2,
Vaseline Healthy Bright Gluta-Hyaluron Serum Burst Flawless Bright UV Lotion 200 mL,Rp61.000,Rp64.900,6%,"5,0",24,
Vaseline Healthy Bright Gluta-Hyaluron Serum Burst Flawless Bright UV Lotion 200 mL,Rp61.000,Rp64.900,6%,"5,0",24,
SMG/JOG/SOLO - Buavita Mini Juice Jambu [125 mL],Rp4.150,Rp4.700,12%,"5,0",40,
SMG/JOG/SOLO - Buavita Mini Juice Jambu [125 mL],Rp4.150,Rp4.700,12%,"5,0",40,
Pepsodent Kids Extra Soft Sikat Gigi Anak Random,Rp8.000,Rp8.975,11%,"4,9","18,2 rb",
Pepsodent Kids Extra Soft Sikat Gigi Anak Random,Rp8.000,Rp8.975,11%,"4,9","18,2 rb",
Vaseline Healthy Bright Firm Glow Vitamin Body Serum [180 mL] Twinpack,Rp49.100,Rp75.200,35%,"5,0",310,
Vaseline Healthy Bright Firm Glow Vitamin Body Serum [180 mL] Twinpack,Rp49.100,Rp75.200,35%,"5,0",310,
Rinso Molto Detergen Cair Perfume Essence [200 mL] isi 3 Pcs,Rp14.300,Rp18.000,21%,"5,0",21,
Rinso Molto Detergen Cair Perfume Essence [200 mL] isi 3 Pcs,Rp14.300,Rp18.000,21%,"5,0",21,
Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 910 mL,Rp15.800,Rp19.000,17%,"5,0",16,
Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 910 mL,Rp15.800,Rp19.000,17%,"5,0",16,
Bandung - Rexona Men Ice Cool Roll-On Deodorant [45 mL],Rp18.900,Rp20.200,6%,"5,0",40,
Bandung - Rexona Men Ice Cool Roll-On Deodorant [45 mL],Rp18.900,Rp20.200,6%,"5,0",40,
Citra Natural Booster Body Serum Insta-Glow with 20X Niacinamide + Hyaluronic Acid [180 mL],Rp18.000,Rp27.000,33%,"5,0",395,
Citra Natural Booster Body Serum Insta-Glow with 20X Niacinamide + Hyaluronic Acid [180 mL],Rp18.000,Rp27.000,33%,"5,0",395,
Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 910 mL [2 Pcs],Rp29.900,Rp38.000,21%,"5,0",832,
Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 910 mL [2 Pcs],Rp29.900,Rp38.000,21%,"5,0",832,
Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 910 mL FREE Sunlight Habbatussauda Sabun Cuci Piring 210 mL,Rp14.600,Rp24.000,39%,"5,0",58,
Sunlight Sabun Cuci Piring Cair Refill Jeruk Nipis 910 mL FREE Sunlight Habbatussauda Sabun Cuci Piring 210 mL,Rp14.600,Rp24.000,39%,"5,0",58,
Rinso Molto Detergent Cair Deterjen Anti Noda Perfume Essence 1.65 L [3 Pcs],Rp151.100,Rp183.000,17%,"5,0",31,
Rinso Molto Detergent Cair Deterjen Anti Noda Perfume Essence 1.65 L [3 Pcs],Rp151.100,Rp183.000,17%,"5,0",31,
Citra Natural Booster Body Serum Complete-Glow with 20X Niacinamide + Hyaluronic Acid [180 mL],Rp18.000,Rp27.000,33%,"5,0",224,
Citra Natural Booster Body Serum Complete-Glow with 20X Niacinamide + Hyaluronic Acid [180 mL],Rp18.000,Rp27.000,33%,"5,0",224,
Dove 3 in 1 Super Shampoo Serum [125 mL x 2pcs] Free Dove Super Conditioner Intense Repair [70 mL],Rp42.100,Rp63.950,34%,"5,0",235,
Dove 3 in 1 Super Shampoo Serum [125 mL x 2pcs] Free Dove Super Conditioner Intense Repair [70 mL],Rp42.100,Rp63.950,34%,"5,0",235,
Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs],Rp25.200,Rp35.000,28%,"4,9","27,8 rb",
Dove Deeply Nourish Body Wash Banded 400 mL[2 Pcs],Rp25.200,Rp35.000,28%,"4,9","27,8 rb",
SARIWANGI 68143152 Teh Hijau Celup [1.85 g/ 25 pcs],Rp11.000,Rp12.000,8%,"4,9","1,1 rb",
SARIWANGI 68143152 Teh Hijau Celup [1.85 g/ 25 pcs],Rp11.000,Rp12.000,8%,"4,9","1,1 rb",
Rinso Molto Detergent Bubuk Deterjen Anti Noda Rose Fresh 1.8 Kg [3 Pcs],Rp181.700,Rp222.000,18%,"5,0",147,
Rinso Molto Detergent Bubuk Deterjen Anti Noda Rose Fresh 1.8 Kg [3 Pcs],Rp181.700,Rp222.000,18%,"5,0",147,
Rinso Detergent Bubuk Konsentrat Deterjen Matic Mesin Cuci Bukaan Depan 900 g [3 Pcs],Rp130.000,Rp165.000,21%,"5,0",17,
Rinso Detergent Bubuk Konsentrat Deterjen Matic Mesin Cuci Bukaan Depan 900 g [3 Pcs],Rp130.000,Rp165.000,21%,"5,0",17,
Vaseline Healthy Bright Gluta-Glow + Hyaluron 330 mL [Triple Pack],Rp168.100,Rp275.600,39%,"5,0","2,1 rb",
Vaseline Healthy Bright Gluta-Glow + Hyaluron 330 mL [Triple Pack],Rp168.100,Rp275.600,39%,"5,0","2,1 rb",
Lifebuoy Japanese Shiso & Mineral Clay Body Wash Refill Pouch [825 mL/Twin Pack],Rp61.800,Rp99.000,38%,"5,0",918,
Lifebuoy Japanese Shiso & Mineral Clay Body Wash Refill Pouch [825 mL/Twin Pack],Rp61.800,Rp99.000,38%,"5,0",918,
Buy Vaseline Healthy Bright Gluta-Glow + Hyaluron 330 mL [Triple Pack] Free HMNS Perfume Sample Size,Rp225.300,Rp275.600,18%,"5,0",4,
Buy Vaseline Healthy Bright Gluta-Glow + Hyaluron 330 mL [Triple Pack] Free HMNS Perfume Sample Size,Rp225.300,Rp275.600,18%,"5,0",4,
Bango Kecap Manis Kemasan Pouch 735 mL [2 Pcs],Rp63.400,Rp75.000,15%,"4,9","25,2 rb",
Bango Kecap Manis Kemasan Pouch 735 mL [2 Pcs],Rp63.400,Rp75.000,15%,"4,9","25,2 rb",
Lifebuoy Lemon Fresh Sabun Cair Refill [825 mL] Free Terry Palmer Hand Towel,Rp38.600,Rp46.000,16%,"5,0",166,
Lifebuoy Lemon Fresh Sabun Cair Refill [825 mL] Free Terry Palmer Hand Towel,Rp38.600,Rp46.000,16%,"5,0",166,
Molto Pewangi Pakaian Soft & Fresh 7x Kesegaran & Anti Bau 1.7 L,Rp30.800,Rp35.700,14%,"4,9","7,2 rb",
Molto Pewangi Pakaian Soft & Fresh 7x Kesegaran & Anti Bau 1.7 L,Rp30.800,Rp35.700,14%,"4,9","7,2 rb",
